Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Station,Location,Datetime,Temperature_C,Dew_Point_C
2:19 AM,51.1 °F,44.5 °F,78 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:19:00,10.61111111111111,6.944444444444445
2:24 AM,50.8 °F,44.7 °F,80 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:24:00,10.444444444444443,7.055555555555557
2:29 AM,50.5 °F,44.4 °F,80 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:29:00,10.277777777777779,6.888888888888888
2:34 AM,50.2 °F,44.1 °F,80 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:34:00,10.111111111111112,6.722222222222223
2:39 AM,49.9 °F,44.1 °F,81 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:39:00,9.944444444444445,6.722222222222223
2:44 AM,49.5 °F,43.9 °F,81 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:44:00,9.722222222222221,6.611111111111111
2:49 AM,49.4 °F,43.9 °F,82 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:49:00,9.666666666666666,6.611111111111111
2:54 AM,49.6 °F,44.0 °F,81 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:54:00,9.777777777777779,6.666666666666667
2:59 AM,49.9 °F,44.3 °F,81 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:59:00,9.944444444444445,6.833333333333332
3:04 AM,49.8 °F,44.3 °F,81 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:04:00,9.888888888888888,6.833333333333332
3:09 AM,49.7 °F,44.3 °F,82 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:09:00,9.833333333333336,6.833333333333332
3:14 AM,49.5 °F,44.1 °F,82 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:14:00,9.722222222222221,6.722222222222223
3:19 AM,49.4 °F,44.0 °F,82 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:19:00,9.666666666666666,6.666666666666667
3:24 AM,49.2 °F,43.8 °F,82 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:24:00,9.555555555555557,6.555555555555554
3:29 AM,49.1 °F,44.1 °F,83 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:29:00,9.5,6.722222222222223
3:34 AM,48.8 °F,43.9 °F,84 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:34:00,9.333333333333332,6.611111111111111
3:39 AM,48.7 °F,44.0 °F,84 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:39:00,9.277777777777779,6.666666666666667
3:44 AM,48.7 °F,43.9 °F,84 °%,NW,0.1 °mph,0.1 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:44:00,9.277777777777779,6.611111111111111
3:49 AM,48.7 °F,44.0 °F,84 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:49:00,9.277777777777779,6.666666666666667
3:54 AM,48.7 °F,44.0 °F,84 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:54:00,9.277777777777779,6.666666666666667
3:59 AM,48.6 °F,43.9 °F,84 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 03:59:00,9.222222222222221,6.611111111111111
4:04 AM,48.5 °F,43.8 °F,84 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:04:00,9.166666666666666,6.555555555555554
4:09 AM,48.3 °F,43.7 °F,84 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:09:00,9.055555555555554,6.500000000000002
4:14 AM,48.3 °F,43.9 °F,85 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:14:00,9.055555555555554,6.611111111111111
4:19 AM,48.2 °F,43.8 °F,85 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:19:00,9.000000000000002,6.555555555555554
4:24 AM,47.9 °F,43.6 °F,85 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:24:00,8.833333333333334,6.4444444444444455
4:29 AM,47.7 °F,43.5 °F,86 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:29:00,8.722222222222223,6.388888888888889
4:34 AM,47.4 °F,43.3 °F,86 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:34:00,8.555555555555555,6.277777777777776
4:39 AM,47.2 °F,43.1 °F,86 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:39:00,8.444444444444446,6.166666666666668
4:44 AM,46.9 °F,42.8 °F,86 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:44:00,8.277777777777779,5.999999999999998
4:49 AM,46.6 °F,43.0 °F,87 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:49:00,8.11111111111111,6.111111111111111
4:54 AM,46.3 °F,42.7 °F,87 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:54:00,7.944444444444443,5.944444444444446
4:59 AM,46.1 °F,42.5 °F,87 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 04:59:00,7.833333333333333,5.833333333333333
5:04 AM,45.8 °F,42.3 °F,88 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:04:00,7.666666666666665,5.7222222222222205
5:09 AM,45.6 °F,42.2 °F,88 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:09:00,7.555555555555555,5.666666666666668
5:14 AM,45.5 °F,42.2 °F,88 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:14:00,7.5,5.666666666666668
5:19 AM,45.5 °F,42.6 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:19:00,7.5,5.888888888888889
5:24 AM,45.4 °F,42.5 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:24:00,7.444444444444445,5.833333333333333
5:29 AM,45.3 °F,42.2 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:29:00,7.3888888888888875,5.666666666666668
5:34 AM,45.2 °F,42.1 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:34:00,7.333333333333335,5.611111111111112
5:39 AM,45.1 °F,42.0 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:39:00,7.277777777777778,5.555555555555555
5:44 AM,44.9 °F,42.2 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:44:00,7.166666666666667,5.666666666666668
5:49 AM,44.9 °F,42.2 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:49:00,7.166666666666667,5.666666666666668
5:54 AM,44.9 °F,42.2 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:54:00,7.166666666666667,5.666666666666668
5:59 AM,44.9 °F,42.2 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 05:59:00,7.166666666666667,5.666666666666668
6:04 AM,44.7 °F,42.0 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:04:00,7.055555555555557,5.555555555555555
6:09 AM,44.7 °F,42.0 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:09:00,7.055555555555557,5.555555555555555
6:14 AM,44.7 °F,42.0 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:14:00,7.055555555555557,5.555555555555555
6:19 AM,44.9 °F,42.4 °F,91 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:19:00,7.166666666666667,5.777777777777777
6:24 AM,45.2 °F,42.7 °F,91 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:24:00,7.333333333333335,5.944444444444446
6:29 AM,45.5 °F,42.8 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:29:00,7.5,5.999999999999998
6:34 AM,45.6 °F,42.9 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:34:00,7.555555555555555,6.0555555555555545
6:39 AM,45.8 °F,43.1 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:39:00,7.666666666666665,6.166666666666668
6:44 AM,46.1 °F,43.4 °F,90 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:44:00,7.833333333333333,6.333333333333332
6:49 AM,46.3 °F,43.4 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:49:00,7.944444444444443,6.333333333333332
6:54 AM,46.5 °F,43.5 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:54:00,8.055555555555555,6.388888888888889
6:59 AM,46.8 °F,43.7 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 06:59:00,8.222222222222221,6.500000000000002
7:04 AM,47.0 °F,43.9 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:04:00,8.333333333333334,6.611111111111111
7:09 AM,47.2 °F,44.2 °F,89 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:09:00,8.444444444444446,6.7777777777777795
7:14 AM,47.4 °F,44.2 °F,88 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:14:00,8.555555555555555,6.7777777777777795
7:19 AM,47.8 °F,44.4 °F,88 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:19:00,8.777777777777777,6.888888888888888
7:24 AM,48.4 °F,45.2 °F,88 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:24:00,9.11111111111111,7.333333333333335
7:29 AM,50.3 °F,44.2 °F,80 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:29:00,10.166666666666664,6.7777777777777795
7:34 AM,53.8 °F,45.3 °F,73 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:34:00,12.111111111111109,7.3888888888888875
7:39 AM,57.7 °F,45.9 °F,65 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:39:00,14.277777777777779,7.722222222222222
7:44 AM,60.6 °F,47.4 °F,62 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:44:00,15.88888888888889,8.555555555555555
7:49 AM,62.3 °F,48.5 °F,61 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:49:00,16.833333333333332,9.166666666666666
7:54 AM,62.1 °F,50.0 °F,65 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:54:00,16.72222222222222,10.0
7:59 AM,60.4 °F,50.0 °F,69 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 07:59:00,15.777777777777779,10.0
8:04 AM,58.8 °F,49.0 °F,70 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 08:04:00,14.88888888888889,9.444444444444445
8:09 AM,58.0 °F,48.8 °F,72 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 08:09:00,14.444444444444445,9.333333333333332
8:14 AM,57.4 °F,48.6 °F,73 °%,NW,0.0 °mph,0.0 °mph,30.18 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 08:14:00,14.11111111111111,9.222222222222221
8:19 AM,57.1 °F,48.2 °F,73 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 08:19:00,13.944444444444445,9.000000000000002
8:24 AM,57.1 °F,48.4 °F,73 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 08:24:00,13.944444444444445,9.11111111111111
12:04 AM,52.9 °F,45.1 °F,75 °%,WNW,0.2 °mph,0.3 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:04:00,11.61111111111111,7.277777777777778
12:09 AM,52.7 °F,45.0 °F,76 °%,WNW,0.1 °mph,0.1 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:09:00,11.500000000000002,7.222222222222222
12:14 AM,52.2 °F,44.9 °F,76 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:14:00,11.222222222222223,7.166666666666667
12:19 AM,52.1 °F,45.0 °F,77 °%,NW,0.0 °mph,0.2 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:19:00,11.166666666666666,7.222222222222222
12:24 AM,52.1 °F,44.8 °F,76 °%,WNW,0.0 °mph,0.1 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:24:00,11.166666666666666,7.11111111111111
12:29 AM,52.3 °F,44.9 °F,76 °%,WNW,0.0 °mph,0.2 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:29:00,11.277777777777777,7.166666666666667
12:34 AM,52.2 °F,44.8 °F,76 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:34:00,11.222222222222223,7.11111111111111
12:39 AM,52.0 °F,44.7 °F,76 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:39:00,11.11111111111111,7.055555555555557
12:44 AM,52.0 °F,44.7 °F,76 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:44:00,11.11111111111111,7.055555555555557
12:49 AM,51.9 °F,44.7 °F,76 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:49:00,11.055555555555555,7.055555555555557
12:54 AM,51.5 °F,44.5 °F,77 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:54:00,10.833333333333334,6.944444444444445
12:59 AM,51.3 °F,44.6 °F,78 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 00:59:00,10.722222222222221,7.000000000000001
1:04 AM,51.0 °F,44.6 °F,78 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 01:04:00,10.555555555555555,7.000000000000001
1:09 AM,50.9 °F,44.6 °F,79 °%,WNW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 01:09:00,10.5,7.000000000000001
1:14 AM,50.9 °F,44.7 °F,80 °%,NW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 01:14:00,10.5,7.055555555555557
1:19 AM,50.9 °F,44.7 °F,80 °%,NW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 01:19:00,10.5,7.055555555555557
1:24 AM,50.9 °F,44.8 °F,80 °%,NW,0.0 °mph,0.0 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 01:24:00,10.5,7.11111111111111
1:29 AM,51.0 °F,44.7 °F,79 °%,NW,0.0 °mph,0.1 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 01:29:00,10.555555555555555,7.055555555555557
1:34 AM,51.1 °F,44.9 °F,79 °%,NW,0.1 °mph,0.2 °mph,30.20 °in,0.00 °in,0.00 °in,0.0,0 w/m²,IGREAT245,Great Missenden,2026-08-07 01:34:00,10.61111111111111,7.166666666666667
